bdc_level,model,test1,test2,test3,test4,accuracy
0,InstructLM-500M,0.00,0.00,0.00,0.00,5.08
1,InstructLM-500M,0.02,0.00,0.00,0.00,5.38
2,InstructLM-500M,0.00,0.05,0.00,0.00,5.32
3,InstructLM-500M,0.00,0.00,0.22,0.12,11.90
4,InstructLM-500M,0.00,0.00,0.17,0.13,9.63
0,InstructLM-1.3B,0.00,0.00,0.00,0.00,4.94
1,InstructLM-1.3B,0.07,0.00,0.00,0.00,5.41
2,InstructLM-1.3B,0.00,0.05,0.00,0.00,5.09
3,InstructLM-1.3B,0.00,0.00,0.25,0.15,13.65
4,InstructLM-1.3B,0.00,0.00,0.22,0.17,12.13
0,Qwen2.5-0.5B,0.12,0.00,0.00,0.00,15.63
1,Qwen2.5-0.5B,0.15,0.00,0.00,0.00,15.65
2,Qwen2.5-0.5B,0.08,0.07,0.00,0.00,15.87
3,Qwen2.5-0.5B,0.07,0.00,0.35,0.22,30.33
4,Qwen2.5-0.5B,0.07,0.00,0.32,0.20,31.24
0,Qwen2.5-1.5B,0.15,0.00,0.00,0.00,37.45
1,Qwen2.5-1.5B,0.18,0.00,0.00,0.00,37.85
2,Qwen2.5-1.5B,0.15,0.10,0.00,0.00,37.98
3,Qwen2.5-1.5B,0.17,0.00,0.33,0.20,42.83
4,Qwen2.5-1.5B,0.18,0.00,0.27,0.20,41.02
0,Qwen2.5-3B,0.23,0.00,0.00,0.00,50.72
1,Qwen2.5-3B,0.33,0.00,0.00,0.00,49.65
2,Qwen2.5-3B,0.15,0.20,0.00,0.00,50.96
3,Qwen2.5-3B,0.15,0.00,0.45,0.20,61.47
4,Qwen2.5-3B,0.13,0.00,0.28,0.23,60.64
0,Qwen2.5-7B,0.43,0.00,0.00,0.00,59.50
1,Qwen2.5-7B,0.57,0.00,0.00,0.00,63.65
2,Qwen2.5-7B,0.38,0.27,0.00,0.00,64.28
3,Qwen2.5-7B,0.35,0.00,0.45,0.20,73.59
4,Qwen2.5-7B,0.35,0.00,0.38,0.23,77.08
0,Qwen2.5-14B,0.67,0.10,0.02,0.00,61.93
1,Qwen2.5-14B,0.78,0.18,0.02,0.00,64.26
2,Qwen2.5-14B,0.68,0.42,0.03,0.00,67.32
3,Qwen2.5-14B,0.70,0.13,0.50,0.28,74.21
4,Qwen2.5-14B,0.67,0.12,0.55,0.37,78.54
0,Qwen2.5-32B,1.00,0.68,0.17,0.00,65.59
1,Qwen2.5-32B,1.00,0.65,0.12,0.02,65.38
2,Qwen2.5-32B,1.00,0.70,0.15,0.02,66.12
3,Qwen2.5-32B,1.00,0.63,0.77,0.38,79.92
4,Qwen2.5-32B,1.00,0.55,0.67,0.40,81.26
0,Qwen2.5-72B,1.00,0.73,0.13,0.02,64.31
1,Qwen2.5-72B,1.00,0.65,0.13,0.02,65.19
2,Qwen2.5-72B,1.00,0.72,0.15,0.03,65.54
3,Qwen2.5-72B,0.98,0.65,0.73,0.32,78.32
4,Qwen2.5-72B,1.00,0.70,0.60,0.35,80.14
