bdc_level,model,test1,test2,test3,test4,accuracy
0,InstructLM-500M,0.05,0.00,0.00,0.00,28.67
1,InstructLM-500M,0.23,0.12,0.00,0.00,38.00
2,InstructLM-500M,0.08,0.25,0.00,0.00,41.90
3,InstructLM-500M,0.07,0.00,0.70,0.00,91.58
4,InstructLM-500M,0.05,0.00,0.00,0.72,92.07
0,InstructLM-1.3B,0.07,0.00,0.00,0.00,29.17
1,InstructLM-1.3B,0.27,0.08,0.00,0.00,39.24
2,InstructLM-1.3B,0.17,0.22,0.00,0.00,41.14
3,InstructLM-1.3B,0.05,0.00,0.73,0.00,94.56
4,InstructLM-1.3B,0.05,0.00,0.00,0.70,94.86
0,Qwen2.5-0.5B,0.57,0.00,0.00,0.00,73.20
1,Qwen2.5-0.5B,0.63,0.05,0.00,0.00,76.25
2,Qwen2.5-0.5B,0.58,0.27,0.00,0.00,78.69
3,Qwen2.5-0.5B,0.52,0.00,0.67,0.00,81.88
4,Qwen2.5-0.5B,0.50,0.00,0.00,0.58,90.23
0,Qwen2.5-1.5B,0.83,0.10,0.00,0.00,92.86
1,Qwen2.5-1.5B,0.95,0.15,0.00,0.00,92.31
2,Qwen2.5-1.5B,0.82,0.28,0.00,0.00,92.70
3,Qwen2.5-1.5B,0.80,0.05,0.77,0.00,95.06
4,Qwen2.5-1.5B,0.82,0.08,0.00,0.52,94.96
0,Qwen2.5-3B,0.83,0.08,0.00,0.00,89.51
1,Qwen2.5-3B,0.87,0.12,0.00,0.00,89.51
2,Qwen2.5-3B,0.87,0.20,0.00,0.00,90.01
3,Qwen2.5-3B,0.78,0.07,0.78,0.00,96.32
4,Qwen2.5-3B,0.82,0.08,0.00,0.55,96.37
0,Qwen2.5-7B,1.00,1.00,0.67,0.38,94.56
1,Qwen2.5-7B,1.00,1.00,0.62,0.33,94.73
2,Qwen2.5-7B,1.00,1.00,0.63,0.38,94.01
3,Qwen2.5-7B,1.00,1.00,0.73,0.38,95.29
4,Qwen2.5-7B,1.00,1.00,0.68,0.52,96.71
0,Qwen2.5-14B,1.00,1.00,0.70,0.38,95.28
1,Qwen2.5-14B,1.00,1.00,0.63,0.43,95.33
2,Qwen2.5-14B,1.00,1.00,0.67,0.40,95.06
3,Qwen2.5-14B,1.00,1.00,0.75,0.40,95.88
4,Qwen2.5-14B,1.00,1.00,0.77,0.53,97.20
0,Qwen2.5-32B,1.00,1.00,0.73,0.37,95.87
1,Qwen2.5-32B,1.00,1.00,0.72,0.38,95.89
2,Qwen2.5-32B,1.00,1.00,0.75,0.40,95.93
3,Qwen2.5-32B,1.00,1.00,0.80,0.42,95.95
4,Qwen2.5-32B,1.00,1.00,0.72,0.53,97.63
0,Qwen2.5-72B,1.00,1.00,0.70,0.42,95.83
1,Qwen2.5-72B,1.00,1.00,0.72,0.42,95.85
2,Qwen2.5-72B,1.00,1.00,0.70,0.43,95.92
3,Qwen2.5-72B,1.00,1.00,0.80,0.37,96.21
4,Qwen2.5-72B,1.00,1.00,0.72,0.58,98.32
