model,bdc_level,dcr,raw_acc,adj_acc,delta
InstructLM-500M,0,0.0000,5.08,5.08,0.00
InstructLM-500M,1,0.0000,5.38,5.38,0.30
InstructLM-500M,2,0.0000,5.32,5.32,0.24
InstructLM-500M,3,0.2641,11.90,8.76,3.68
InstructLM-500M,4,0.2324,9.63,7.39,2.31
InstructLM-1.3B,0,0.0000,4.94,4.94,0.00
InstructLM-1.3B,1,0.0000,5.41,5.41,0.47
InstructLM-1.3B,2,0.0000,5.09,5.09,0.15
InstructLM-1.3B,3,0.2934,13.65,9.65,4.71
InstructLM-1.3B,4,0.2652,12.13,8.91,3.97
Qwen2.5-0.5B,0,0.2120,15.63,12.32,0.00
Qwen2.5-0.5B,1,0.2218,15.65,12.18,0.14
Qwen2.5-0.5B,2,0.2077,15.87,12.57,0.26
Qwen2.5-0.5B,3,0.3579,30.33,19.47,7.16
Qwen2.5-0.5B,4,0.3471,31.24,20.40,8.08
Qwen2.5-1.5B,0,0.2218,37.45,29.14,0.00
Qwen2.5-1.5B,1,0.2340,37.85,28.99,0.15
Qwen2.5-1.5B,2,0.2238,37.98,29.48,0.34
Qwen2.5-1.5B,3,0.3511,42.83,27.79,1.35
Qwen2.5-1.5B,4,0.3178,41.02,27.98,1.16
Qwen2.5-3B,0,0.2709,50.72,36.98,0.00
Qwen2.5-3B,1,0.3451,49.65,32.52,4.46
Qwen2.5-3B,2,0.2360,50.96,38.93,1.95
Qwen2.5-3B,3,0.3663,61.47,38.95,1.97
Qwen2.5-3B,4,0.3338,60.64,40.40,3.42
Qwen2.5-7B,0,0.3612,59.50,38.01,0.00
Qwen2.5-7B,1,0.4180,63.65,37.04,0.96
Qwen2.5-7B,2,0.3724,64.28,40.34,2.33
Qwen2.5-7B,3,0.3882,73.59,45.02,7.01
Qwen2.5-7B,4,0.3883,77.08,47.15,9.14
Qwen2.5-14B,0,0.4795,61.93,32.23,0.00
Qwen2.5-14B,1,0.5166,64.26,31.06,1.17
Qwen2.5-14B,2,0.6197,67.32,25.60,6.63
Qwen2.5-14B,3,0.4913,74.21,37.75,5.52
Qwen2.5-14B,4,0.4987,78.54,39.37,7.14
Qwen2.5-32B,0,0.6595,65.59,22.33,0.00
Qwen2.5-32B,1,0.6606,65.38,22.19,0.14
Qwen2.5-32B,2,0.6591,66.12,22.54,0.21
Qwen2.5-32B,3,0.7093,79.92,23.23,0.90
Qwen2.5-32B,4,0.6670,81.26,27.06,4.73
Qwen2.5-72B,0,0.6589,64.31,21.94,0.00
Qwen2.5-72B,1,0.6604,65.19,22.14,0.20
Qwen2.5-72B,2,0.6585,65.54,22.38,0.45
Qwen2.5-72B,3,0.7105,78.32,22.67,0.74
Qwen2.5-72B,4,0.6555,80.14,27.61,5.67
