model,bdc_level,dcr,raw_acc,adj_acc,delta
InstructLM-500M,0,0.0000,14.55,14.55,0.00
InstructLM-500M,1,0.2067,22.34,17.72,3.17
InstructLM-500M,2,0.2501,26.09,19.56,5.01
InstructLM-500M,3,0.2919,30.23,21.41,6.86
InstructLM-500M,4,0.2974,32.09,22.55,8.00
InstructLM-1.3B,0,0.0000,15.55,15.55,0.00
InstructLM-1.3B,1,0.2620,24.34,17.96,2.41
InstructLM-1.3B,2,0.3635,25.25,16.07,0.52
InstructLM-1.3B,3,0.3638,29.18,18.56,3.01
InstructLM-1.3B,4,0.3495,29.91,19.46,3.91
Qwen2.5-0.5B,0,0.0000,16.32,16.32,0.00
Qwen2.5-0.5B,1,0.3535,28.79,18.61,2.29
Qwen2.5-0.5B,2,0.3514,29.18,18.93,2.61
Qwen2.5-0.5B,3,0.3428,31.14,20.47,4.15
Qwen2.5-0.5B,4,0.3504,32.45,21.08,4.76
Qwen2.5-1.5B,0,0.3801,17.33,10.74,0.00
Qwen2.5-1.5B,1,0.4621,28.98,15.59,4.85
Qwen2.5-1.5B,2,0.3728,29.72,18.64,7.90
Qwen2.5-1.5B,3,0.3839,30.40,18.73,7.99
Qwen2.5-1.5B,4,0.3865,33.54,20.58,9.83
Qwen2.5-3B,0,0.4181,21.65,12.60,0.00
Qwen2.5-3B,1,0.4494,27.27,15.01,2.42
Qwen2.5-3B,2,0.5234,30.21,14.40,1.80
Qwen2.5-3B,3,0.4453,32.40,17.97,5.37
Qwen2.5-3B,4,0.4393,37.85,21.22,8.62
Qwen2.5-7B,0,0.5701,24.43,10.50,0.00
Qwen2.5-7B,1,0.6475,26.48,9.33,1.17
Qwen2.5-7B,2,0.6291,29.78,11.05,0.54
Qwen2.5-7B,3,0.5393,32.23,14.85,4.35
Qwen2.5-7B,4,0.5654,45.73,19.87,9.37
Qwen2.5-14B,0,0.5524,26.83,12.01,0.00
Qwen2.5-14B,1,0.6308,29.45,10.87,1.14
Qwen2.5-14B,2,0.6300,31.25,11.56,0.45
Qwen2.5-14B,3,0.5440,33.54,15.29,3.29
Qwen2.5-14B,4,0.6059,48.85,19.25,7.24
Qwen2.5-32B,0,0.5759,29.75,12.62,0.00
Qwen2.5-32B,1,0.6304,31.42,11.61,1.00
Qwen2.5-32B,2,0.6507,33.82,11.81,0.80
Qwen2.5-32B,3,0.6773,32.78,10.58,2.04
Qwen2.5-32B,4,0.7195,52.23,14.65,2.03
Qwen2.5-72B,0,0.5430,29.15,13.32,0.00
Qwen2.5-72B,1,0.6269,32.85,12.26,1.07
Qwen2.5-72B,2,0.6255,33.54,12.56,0.76
Qwen2.5-72B,3,0.6164,34.52,13.24,0.08
Qwen2.5-72B,4,0.6646,51.28,17.20,3.88
