model,bdc_level,dcr,raw_acc,adj_acc,delta
InstructLM-500M,0,0.0000,28.67,28.67,0.00
InstructLM-500M,1,0.2733,38.00,27.61,1.06
InstructLM-500M,2,0.2852,41.90,29.95,1.28
InstructLM-500M,3,0.5515,91.58,41.07,12.40
InstructLM-500M,4,0.5620,92.07,40.33,11.66
InstructLM-1.3B,0,0.0000,29.17,29.17,0.00
InstructLM-1.3B,1,0.3115,39.24,27.02,2.15
InstructLM-1.3B,2,0.2522,41.14,30.76,1.59
InstructLM-1.3B,3,0.5668,94.56,40.96,11.79
InstructLM-1.3B,4,0.5515,94.86,42.54,13.37
Qwen2.5-0.5B,0,0.4180,73.20,42.60,0.00
Qwen2.5-0.5B,1,0.4621,76.25,41.01,1.59
Qwen2.5-0.5B,2,0.5235,78.69,37.50,5.11
Qwen2.5-0.5B,3,0.5365,81.88,37.95,4.65
Qwen2.5-0.5B,4,0.4690,90.23,47.91,5.31
Qwen2.5-1.5B,0,0.5000,92.86,46.43,0.00
Qwen2.5-1.5B,1,0.5064,92.31,45.56,0.87
Qwen2.5-1.5B,2,0.6284,92.70,34.45,11.98
Qwen2.5-1.5B,3,0.6040,95.06,37.64,8.79
Qwen2.5-1.5B,4,0.5036,94.96,47.14,0.71
Qwen2.5-3B,0,0.5000,89.51,44.76,0.00
Qwen2.5-3B,1,0.5010,89.51,44.67,0.09
Qwen2.5-3B,2,0.5281,90.01,42.48,2.28
Qwen2.5-3B,3,0.6062,96.32,37.93,6.82
Qwen2.5-3B,4,0.5161,96.37,46.63,1.88
Qwen2.5-7B,0,0.6759,94.56,30.65,0.00
Qwen2.5-7B,1,0.6636,94.73,31.87,1.22
Qwen2.5-7B,2,0.6593,94.01,32.03,1.38
Qwen2.5-7B,3,0.6951,95.29,29.05,1.59
Qwen2.5-7B,4,0.6807,96.71,30.88,0.23
Qwen2.5-14B,0,0.6863,95.28,29.89,0.00
Qwen2.5-14B,1,0.6557,95.33,32.82,2.93
Qwen2.5-14B,2,0.6727,95.06,31.11,1.22
Qwen2.5-14B,3,0.6970,95.88,29.05,0.84
Qwen2.5-14B,4,0.7089,97.20,28.29,1.59
Qwen2.5-32B,0,0.6967,95.87,29.08,0.00
Qwen2.5-32B,1,0.6923,95.89,29.51,0.43
Qwen2.5-32B,2,0.6970,95.93,29.07,0.01
Qwen2.5-32B,3,0.7071,95.95,28.10,0.97
Qwen2.5-32B,4,0.6965,97.63,29.63,0.55
Qwen2.5-72B,0,0.6828,95.83,30.40,0.00
Qwen2.5-72B,1,0.6889,95.85,29.82,0.58
Qwen2.5-72B,2,0.6827,95.92,30.44,0.04
Qwen2.5-72B,3,0.7120,96.21,27.71,2.69
Qwen2.5-72B,4,0.7138,98.32,28.14,2.26
